date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:56	13913/13913	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:45%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/uc-datamap.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/uc-datamap.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:39:57	17417/17417	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:46%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/uc-nestedable.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/uc-nestedable.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:39:58	16838/16838	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:46%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/uc-sweetalert.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/uc-sweetalert.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:39:59	18989/18989	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:47%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/uc-toastr.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/uc-toastr.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:40:00	13855/13855	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:47%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/uc-weather.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/uc-weather.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:40:01	25360/25360	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:31%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/form-basic.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/form-basic.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:40:02	29376/29376	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:33%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/form-layout.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/form-layout.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:40:03	18347/18347	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:33%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/form-validation.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/form-validation.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:40:04	14189/14189	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:32%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/form-editor.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/form-editor.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
11:40:05	14069/14069	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jul%202018%2012:58:32%20GMT	https://demo.web3canvas.com/themeforest/coindash/admin/dark/form-dropzone.html	/Users/harshan/websites/final-dashboard/demo.web3canvas.com/themeforest/coindash/admin/dark/form-dropzone.html	(from https://demo.web3canvas.com/themeforest/coindash/admin/dark/index2.html)
